fecha,anio,mes_num,departamento,municipio,pasajeros_aereos_nacionales
2012-06-01,2012,6,CESAR,San Martín,0
2012-06-01,2012,6,CESAR,Valledupar,12143
2012-06-01,2012,6,CHOCO,Acandí,503
2012-06-01,2012,6,CHOCO,Bahía Solano,1139
2012-06-01,2012,6,CHOCO,Condoto,219
2012-06-01,2012,6,CHOCO,Nuquí,433
2012-06-01,2012,6,CHOCO,Quibdó,11433
2012-06-01,2012,6,CORDOBA,Montería,23056
2012-06-01,2012,6,GUAINIA,Barranco Minas,8
2012-06-01,2012,6,GUAINIA,Inírida,1003
2012-06-01,2012,6,GUAVIARE,Miraflores,181
2012-06-01,2012,6,GUAVIARE,San José del Guaviare,1019
2012-06-01,2012,6,HUILA,Neiva,12095
2012-06-01,2012,6,LA GUAJIRA,Maicao,3275
2012-06-01,2012,6,LA GUAJIRA,Riohacha,3743
2012-06-01,2012,6,LA GUAJIRA,Uribia,1175
2012-06-01,2012,6,MAGDALENA,Santa Marta,42784
2012-06-01,2012,6,META,La Macarena,105
2012-06-01,2012,6,META,Uribe,0
2012-06-01,2012,6,META,Villavicencio,2857
2012-06-01,2012,6,NARINO,Ipiales,260
2012-06-01,2012,6,NARINO,Pasto,9652
2012-06-01,2012,6,NARINO,San Andres de Tumaco,2467
2012-06-01,2012,6,NORTE DE SANTANDER,Cúcuta,36568
2012-06-01,2012,6,PUTUMAYO,Puerto Asís,1765
2012-06-01,2012,6,PUTUMAYO,Puerto Leguízamo,558
2012-06-01,2012,6,PUTUMAYO,Villagarzón,561
2012-06-01,2012,6,QUINDIO,Armenia,11181
2012-06-01,2012,6,RISARALDA,Pereira,37207
2012-06-01,2012,6,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",Providencia,752
2012-06-01,2012,6,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",San Andrés,37559
2012-06-01,2012,6,SANTANDER,Barrancabermeja,8180
2012-06-01,2012,6,SANTANDER,Bucaramanga,53265
2012-06-01,2012,6,SIN ESPECIFICAR,Sin Especificar,0
2012-06-01,2012,6,SUCRE,Corozal,1535
2012-06-01,2012,6,SUCRE,Santiago de Tolú,322
2012-06-01,2012,6,TOLIMA,Ibagué,6076
2012-06-01,2012,6,TOLIMA,natagaima,0
2012-06-01,2012,6,VALLE DEL CAUCA,Buenaventura,351
2012-06-01,2012,6,VALLE DEL CAUCA,Cali,113287
2012-06-01,2012,6,VAUPES,Caruru,71
2012-06-01,2012,6,VAUPES,Mitú,837
2012-06-01,2012,6,VAUPES,Pacoa,0
2012-06-01,2012,6,VAUPES,Taraira,47
2012-06-01,2012,6,VICHADA,Cumaribo,363
2012-06-01,2012,6,VICHADA,La Primavera,0
2012-06-01,2012,6,VICHADA,Puerto Carreño,1311
2012-07-01,2012,7,AMAZONAS,LA CHORRERA,73
2012-07-01,2012,7,AMAZONAS,La Pedrera,131
2012-07-01,2012,7,AMAZONAS,Leticia,7833
2012-07-01,2012,7,AMAZONAS,Tarapacá,121
2012-07-01,2012,7,ANTIOQUIA,Carepa,7260
2012-07-01,2012,7,ANTIOQUIA,Caucasia,1217
2012-07-01,2012,7,ANTIOQUIA,El Bagre,436
2012-07-01,2012,7,ANTIOQUIA,Medellín,38187
2012-07-01,2012,7,ANTIOQUIA,Remedios,388
2012-07-01,2012,7,ANTIOQUIA,Rionegro,168608
2012-07-01,2012,7,ARAUCA,Arauca,4595
2012-07-01,2012,7,ARAUCA,Tame,225
2012-07-01,2012,7,ATLANTICO,Barranquilla,77517
2012-07-01,2012,7,BOGOTA D.C.,"Bogotá, D.C.",547217
2012-07-01,2012,7,BOLIVAR,Cartagena,116848
2012-07-01,2012,7,CALDAS,Manizales,8693
2012-07-01,2012,7,CAQUETA,Florencia,2934
2012-07-01,2012,7,CAQUETA,San Vicente del Caguán,59
2012-07-01,2012,7,CAQUETA,Solano,0
2012-07-01,2012,7,CASANARE,Paz de Ariporo,39
2012-07-01,2012,7,CASANARE,Yopal,14000
2012-07-01,2012,7,CAUCA,Guapi,734
2012-07-01,2012,7,CAUCA,Popayán,3365
2012-07-01,2012,7,CESAR,San Martín,7
2012-07-01,2012,7,CESAR,Valledupar,13863
2012-07-01,2012,7,CHOCO,Acandí,468
2012-07-01,2012,7,CHOCO,Bahía Solano,1274
2012-07-01,2012,7,CHOCO,Condoto,244
2012-07-01,2012,7,CHOCO,Nuquí,665
2012-07-01,2012,7,CHOCO,Quibdó,11548
2012-07-01,2012,7,CORDOBA,Montería,23557
2012-07-01,2012,7,GUAINIA,Barranco Minas,0
2012-07-01,2012,7,GUAINIA,Inírida,1056
2012-07-01,2012,7,GUAVIARE,Miraflores,313
2012-07-01,2012,7,GUAVIARE,San José del Guaviare,866
2012-07-01,2012,7,HUILA,Neiva,10956
2012-07-01,2012,7,LA GUAJIRA,Maicao,3136
2012-07-01,2012,7,LA GUAJIRA,Riohacha,3986
2012-07-01,2012,7,LA GUAJIRA,Uribia,923
2012-07-01,2012,7,MAGDALENA,Santa Marta,43240
2012-07-01,2012,7,META,La Macarena,128
2012-07-01,2012,7,META,Puerto Gaitán,0
2012-07-01,2012,7,META,Puerto López,0
2012-07-01,2012,7,META,Uribe,0
2012-07-01,2012,7,META,Villavicencio,2691
2012-07-01,2012,7,NARINO,Ipiales,323
2012-07-01,2012,7,NARINO,Pasto,9860
2012-07-01,2012,7,NARINO,San Andres de Tumaco,2767
2012-07-01,2012,7,NORTE DE SANTANDER,Cúcuta,37758
2012-07-01,2012,7,PUTUMAYO,Puerto Asís,1751
2012-07-01,2012,7,PUTUMAYO,Puerto Leguízamo,492
2012-07-01,2012,7,PUTUMAYO,Villagarzón,600
2012-07-01,2012,7,QUINDIO,Armenia,10569
2012-07-01,2012,7,RISARALDA,Pereira,37052
